"row_id","order_id","order_date","ship_date","ship_mode","city","state","postal_code","region","customer_id","customer_name","segment","country","product_id","category","sub_category","product_name","sales","quantity","discount","profit","shipping_days","profit_margin_pct"
1,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","Henderson","Kentucky","42420","South","CG-12520","Claire Gute","Consumer","United States","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase","261.96",2,"0.00","41.91",3,"16.00"
2,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","Henderson","Kentucky","42420","South","CG-12520","Claire Gute","Consumer","United States","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","731.94",3,"0.00","219.58",3,"30.00"
3,"CA-2016-138688","2016-06-12","2016-06-16","Second Class","Los Angeles","California","90036","West","DV-13045","Darrin Van Huff","Corporate","United States","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal","14.62",2,"0.00","6.87",4,"47.00"
4,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","Fort Lauderdale","Florida","33311","South","SO-20335","Sean O'Donnell","Consumer","United States","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","957.58",5,"0.45","-383.03",7,"-40.00"
5,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","Fort Lauderdale","Florida","33311","South","SO-20335","Sean O'Donnell","Consumer","United States","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold 'N Roll Cart System","22.37",2,"0.20","2.52",7,"11.25"
6,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","Los Angeles","California","90032","West","BH-11710","Brosina Hoffman","Consumer","United States","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","48.86",7,"0.00","14.17",5,"29.00"
7,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","Los Angeles","California","90032","West","BH-11710","Brosina Hoffman","Consumer","United States","OFF-AR-10002833","Office Supplies","Art","Newell 322","7.28",4,"0.00","1.97",5,"27.00"
8,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","Los Angeles","California","90032","West","BH-11710","Brosina Hoffman","Consumer","United States","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone","907.15",6,"0.20","90.72",5,"10.00"
9,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","Los Angeles","California","90032","West","BH-11710","Brosina Hoffman","Consumer","United States","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill","18.50",3,"0.20","5.78",5,"31.25"
10,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","Los Angeles","California","90032","West","BH-11710","Brosina Hoffman","Consumer","United States","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge","114.90",5,"0.00","34.47",5,"30.00"
